islay 0.1.0 - Othello/Reversi engine (movegen backend: hybrid (int+NEON))
type 'uci', 'go perft <depth> [nocache]', 'd', 'test', or 'quit'
info string pattern weights loaded: weights/v12.pat (v3, 15 stages x 167332)
info string option EvalFile = weights/v12.pat
stage,depth,score,standpat
9,1,3438,2856
9,2,2567,2856
9,3,2163,2856
9,4,1410,2856
9,5,1445,2856
9,6,1398,2856
9,7,1150,2856
9,8,1123,2856
9,9,1066,2856
9,10,1201,2856
9,11,1548,2856
9,12,1528,2856
7,1,1188,-905
7,2,606,-905
7,3,1000,-905
7,4,834,-905
7,5,1083,-905
7,6,1032,-905
7,7,1007,-905
7,8,788,-905
7,9,628,-905
7,10,685,-905
7,11,500,-905
7,12,609,-905
1,1,-638,-451
1,2,-156,-451
1,3,-182,-451
1,4,81,-451
1,5,9,-451
1,6,228,-451
1,7,126,-451
1,8,36,-451
1,9,41,-451
1,10,170,-451
1,11,106,-451
1,12,383,-451
8,1,742,441
8,2,405,441
8,3,472,441
8,4,506,441
8,5,841,441
8,6,507,441
8,7,549,441
8,8,472,441
8,9,395,441
8,10,281,441
8,11,300,441
8,12,175,441
9,1,-3674,-4511
9,2,-2980,-4511
9,3,-2834,-4511
9,4,-2859,-4511
9,5,-2732,-4511
9,6,-2436,-4511
9,7,-2347,-4511
9,8,-2587,-4511
9,9,-2462,-4511
9,10,-2565,-4511
9,11,-2455,-4511
9,12,-2703,-4511
1,1,698,700
1,2,677,700
1,3,876,700
1,4,1003,700
1,5,1132,700
1,6,1287,700
1,7,1178,700
1,8,1196,700
1,9,1008,700
1,10,1293,700
1,11,1076,700
1,12,1355,700
8,1,-839,-1108
8,2,-838,-1108
8,3,-561,-1108
8,4,-637,-1108
8,5,-366,-1108
8,6,-412,-1108
8,7,-112,-1108
8,8,-107,-1108
8,9,-21,-1108
8,10,-89,-1108
8,11,-63,-1108
8,12,154,-1108
6,1,2311,1798
6,2,1753,1798
6,3,1793,1798
6,4,1544,1798
6,5,1736,1798
6,6,1561,1798
6,7,1540,1798
6,8,1776,1798
6,9,1554,1798
6,10,1546,1798
6,11,1433,1798
6,12,1406,1798
6,1,4119,4428
6,2,4398,4428
6,3,4067,4428
6,4,4280,4428
6,5,4149,4428
6,6,3915,4428
6,7,4097,4428
6,8,3971,4428
6,9,3908,4428
6,10,3694,4428
6,11,3645,4428
6,12,3592,4428
4,1,2477,2196
4,2,2425,2196
4,3,2348,2196
4,4,2390,2196
4,5,2664,2196
4,6,2687,2196
4,7,2685,2196
4,8,2745,2196
4,9,2549,2196
4,10,2530,2196
4,11,2738,2196
4,12,2676,2196
1,1,1977,1713
1,2,1964,1713
1,3,1722,1713
1,4,1732,1713
1,5,1719,1713
1,6,1660,1713
1,7,1447,1713
1,8,1739,1713
1,9,1498,1713
1,10,1456,1713
1,11,1344,1713
1,12,1382,1713
11,1,3340,2672
11,2,3188,2672
11,3,3232,2672
11,4,3330,2672
11,5,3169,2672
11,6,3629,2672
11,7,3631,2672
11,8,3838,2672
11,9,3575,2672
11,10,4569,2672
11,11,4400,2672
11,12,4800,2672
2,1,751,1078
2,2,828,1078
2,3,419,1078
2,4,663,1078
2,5,640,1078
2,6,773,1078
2,7,680,1078
2,8,958,1078
2,9,750,1078
2,10,597,1078
2,11,523,1078
2,12,639,1078
9,1,2264,2436
9,2,1224,2436
9,3,1868,2436
9,4,1161,2436
9,5,1592,2436
9,6,1454,2436
9,7,1223,2436
9,8,1531,2436
9,9,1674,2436
9,10,1769,2436
9,11,1769,2436
9,12,1998,2436
4,1,304,388
4,2,-83,388
4,3,-219,388
4,4,-110,388
4,5,-148,388
4,6,-13,388
4,7,-318,388
4,8,-237,388
4,9,-445,388
4,10,-239,388
4,11,-490,388
4,12,-456,388
7,1,569,416
7,2,349,416
7,3,785,416
7,4,556,416
7,5,182,416
7,6,440,416
7,7,623,416
7,8,266,416
7,9,346,416
7,10,456,416
7,11,371,416
7,12,411,416
12,1,1021,499
12,2,11,499
12,3,219,499
12,4,-93,499
12,5,266,499
12,6,64,499
12,7,328,499
12,8,278,499
12,9,-41,499
12,10,78,499
12,11,-200,499
12,12,-600,499
2,1,337,402
2,2,426,402
2,3,525,402
2,4,581,402
2,5,668,402
2,6,718,402
2,7,806,402
2,8,799,402
2,9,412,402
2,10,526,402
2,11,135,402
2,12,346,402
10,1,667,801
10,2,-24,801
10,3,488,801
10,4,126,801
10,5,498,801
10,6,383,801
10,7,379,801
10,8,181,801
10,9,190,801
10,10,-63,801
10,11,131,801
10,12,141,801
3,1,77,154
3,2,550,154
3,3,286,154
3,4,260,154
3,5,69,154
3,6,172,154
3,7,157,154
3,8,186,154
3,9,-45,154
3,10,253,154
3,11,295,154
3,12,255,154
4,1,2851,3073
4,2,2639,3073
4,3,2707,3073
4,4,2719,3073
4,5,2784,3073
4,6,2836,3073
4,7,2645,3073
4,8,2670,3073
4,9,2511,3073
4,10,2770,3073
4,11,2528,3073
4,12,2525,3073
6,1,1861,1606
6,2,1823,1606
6,3,1721,1606
6,4,1342,1606
6,5,1843,1606
6,6,1452,1606
6,7,1588,1606
6,8,1485,1606
6,9,1734,1606
6,10,1445,1606
6,11,1556,1606
6,12,1717,1606
7,1,216,-626
7,2,-154,-626
7,3,198,-626
7,4,263,-626
7,5,31,-626
7,6,-149,-626
7,7,-49,-626
7,8,-428,-626
7,9,-143,-626
7,10,-289,-626
7,11,-264,-626
7,12,-300,-626
3,1,3136,2087
3,2,3047,2087
3,3,2770,2087
3,4,2662,2087
3,5,2690,2087
3,6,2784,2087
3,7,2996,2087
3,8,2921,2087
3,9,2676,2087
3,10,2994,2087
3,11,3192,2087
3,12,3169,2087
5,1,-3557,-3434
5,2,-3554,-3434
5,3,-3687,-3434
5,4,-3752,-3434
5,5,-3761,-3434
5,6,-3609,-3434
5,7,-3566,-3434
5,8,-3195,-3434
5,9,-3124,-3434
5,10,-3186,-3434
5,11,-3289,-3434
5,12,-3234,-3434
6,1,3416,1308
6,2,2405,1308
6,3,2677,1308
6,4,2380,1308
6,5,2692,1308
6,6,2788,1308
6,7,2637,1308
6,8,2631,1308
6,9,2670,1308
6,10,2719,1308
6,11,2595,1308
6,12,2616,1308
3,1,3877,3572
3,2,3820,3572
3,3,3545,3572
3,4,3896,3572
3,5,3584,3572
3,6,3753,3572
3,7,3683,3572
3,8,3554,3572
3,9,3510,3572
3,10,3522,3572
3,11,3488,3572
3,12,3484,3572
